Date,TTWO
2024-08-07,124.1692491921267
2024-08-08,126.9934131097416
2024-08-09,132.67105389068092
2024-08-12,134.95740474410923
2024-08-13,132.4768316523332
2024-08-14,131.77246620713777
2024-08-15,132.91304331680294
2024-08-16,136.6478229981003
2024-08-19,136.50801295042038
2024-08-20,139.6386193480539
2024-08-21,143.84530769675257
2024-08-22,142.26344073431392
2024-08-23,143.37290249163016
2024-08-26,143.35085400353273
2024-08-27,144.00743096569022
2024-08-28,142.24458020925522
2024-08-29,144.2702407836914
2024-08-30,145.9416671607778
2024-09-02,146.41223654712758
2024-09-03,140.86344397523862
2024-09-04,143.03725780564037
2024-09-05,141.7450803061729
2024-09-06,140.94899681544302
2024-09-09,140.99126555147086
2024-09-10,140.29410833563816
2024-09-11,138.22722171257738
2024-09-12,139.50706829427872
2024-09-13,137.37288044787783
2024-09-16,137.48550090943536
2024-09-17,137.2114649634459
2024-09-18,137.84827611137644
2024-09-19,138.2479031406383
2024-09-20,133.29200255226897
2024-09-23,134.15658097955202
2024-09-24,135.80245365173323
2024-09-25,134.72204385878922
2024-09-26,136.27678054976786
2024-09-27,136.9307802800904
2024-09-30,137.6119561686046
2024-10-01,135.1220043585099
2024-10-02,136.8142572037832
2024-10-03,133.64706754024883
2024-10-04,137.45541215517005
2024-10-07,138.69375612900058
2024-10-08,139.34363168827622
2024-10-09,140.18184199271582
2024-10-10,140.2591671953087
2024-10-11,141.8437599222416
2024-10-14,142.2650741045436
2024-10-15,143.0447974850531
2024-10-16,142.32666642542063
2024-10-17,142.49966736159422
2024-10-18,143.3763195907659
2024-10-21,144.34215585308993
2024-10-22,147.92248746281803
2024-10-23,149.12101295620778
2024-10-24,149.58477511837373
2024-10-25,149.4713053790574
2024-10-28,148.8898649662733
2024-10-29,150.02623201051028
2024-10-30,150.5364224324585
2024-10-31,148.92471790430682
2024-11-01,150.4483106116695
2024-11-04,149.82715985548566
2024-11-05,150.84526378251212
2024-11-06,152.38064913635753
2024-11-07,166.93268572200395
2024-11-08,164.79587748901758
