Datetime,ETE.AT,MSFT,AAPL
2026-09-01 07:30:00+00:00,19.634570273805366,507.32000732421875,317.2300109863281
2026-09-01 07:31:00+00:00,19.634570273805366,507.32000732421875,317.2300109863281
2026-09-01 07:32:00+00:00,19.684490593509736,507.32000732421875,317.2300109863281
2026-09-01 07:33:00+00:00,19.686774539693033,507.32000732421875,317.2300109863281
2026-09-01 07:34:00+00:00,19.643892231987365,507.32000732421875,317.2300109863281
2026-09-01 07:35:00+00:00,19.632292384060293,507.32000732421875,317.2300109863281
2026-09-01 07:36:00+00:00,19.643892231987365,507.32000732421875,317.2300109863281
2026-09-01 07:37:00+00:00,19.649693262173287,507.32000732421875,317.2300109863281
2026-09-01 07:38:00+00:00,19.676408502408776,507.32000732421875,317.2300109863281
2026-09-01 07:39:00+00:00,19.68220664732644,507.32000732421875,317.2300109863281
2026-09-01 07:40:00+00:00,19.688007004432166,507.32000732421875,317.2300109863281
2026-09-01 07:41:00+00:00,19.69152188143653,507.32000732421875,317.2300109863281
2026-09-01 07:42:00+00:00,19.70891872337006,507.32000732421875,317.2300109863281
2026-09-01 07:43:00+00:00,19.717002153396606,507.32000732421875,317.2300109863281
2026-09-01 07:44:00+00:00,19.683441813060654,507.32000732421875,317.2300109863281
2026-09-01 07:45:00+00:00,19.637058562659604,507.32000732421875,317.2300109863281
2026-09-01 07:46:00+00:00,19.639335779499106,507.32000732421875,317.2300109863281
2026-09-01 07:47:00+00:00,19.639335779499106,507.32000732421875,317.2300109863281
2026-09-01 07:48:00+00:00,19.63001449431522,507.32000732421875,317.2300109863281
2026-09-01 07:49:00+00:00,19.64161299633861,507.32000732421875,317.2300109863281
2026-09-01 07:50:00+00:00,19.64161299633861,507.32000732421875,317.2300109863281
2026-09-01 07:51:00+00:00,19.635814851420946,507.32000732421875,317.2300109863281
2026-09-01 07:52:00+00:00,19.64161299633861,507.32000732421875,317.2300109863281
2026-09-01 07:53:00+00:00,19.65673262143264,507.32000732421875,317.2300109863281
2026-09-01 07:54:00+00:00,19.664810000385387,507.32000732421875,317.2300109863281
2026-09-01 07:55:00+00:00,19.664810000385387,507.32000732421875,317.2300109863281
2026-09-01 07:56:00+00:00,19.676408502408776,507.32000732421875,317.2300109863281
2026-09-01 07:57:00+00:00,19.68220664732644,507.32000732421875,317.2300109863281
2026-09-01 07:58:00+00:00,19.647413353444335,507.32000732421875,317.2300109863281
2026-09-01 07:59:00+00:00,19.601019345350778,507.32000732421875,317.2300109863281
2026-09-01 08:00:00+00:00,19.635814851420946,507.32000732421875,317.2300109863281
2026-09-01 08:01:00+00:00,19.59874683487351,507.32000732421875,317.2300109863281
2026-09-01 08:02:00+00:00,19.604546519495216,507.32000732421875,317.2300109863281
2026-09-01 08:03:00+00:00,19.590677523933664,507.32000732421875,317.2300109863281
2026-09-01 08:04:00+00:00,19.59874683487351,507.32000732421875,317.2300109863281
2026-09-01 08:05:00+00:00,19.601019345350778,507.32000732421875,317.2300109863281
2026-09-01 08:06:00+00:00,19.587149677561683,507.32000732421875,317.2300109863281
2026-09-01 08:07:00+00:00,19.597726970611347,507.32000732421875,317.2300109863281
2026-09-01 08:08:00+00:00,19.54329590974521,507.32000732421875,317.2300109863281
2026-09-01 08:09:00+00:00,19.499186529186773,507.32000732421875,317.2300109863281
2026-09-01 08:10:00+00:00,19.49113400137412,507.32000732421875,317.2300109863281
2026-09-01 08:11:00+00:00,19.55715214507245,507.32000732421875,317.2300109863281
2026-09-01 08:12:00+00:00,19.62670867297311,507.32000732421875,317.2300109863281
2026-09-01 08:13:00+00:00,19.611594621461336,507.32000732421875,317.2300109863281
2026-09-01 08:14:00+00:00,19.551354477902805,507.32000732421875,317.2300109863281
2026-09-01 08:15:00+00:00,19.551354477902805,507.32000732421875,317.2300109863281
2026-09-01 08:16:00+00:00,19.551354477902805,507.32000732421875,317.2300109863281
2026-09-01 08:17:00+00:00,19.522372775541044,507.32000732421875,317.2300109863281
2026-09-01 08:18:00+00:00,19.510779652363908,507.32000732421875,317.2300109863281
2026-09-01 08:19:00+00:00,19.445733183943048,507.32000732421875,317.2300109863281
2026-09-01 08:20:00+00:00,19.447988213682947,507.32000732421875,317.2300109863281
2026-09-01 08:21:00+00:00,19.453785686373067,507.32000732421875,317.2300109863281
2026-09-01 08:22:00+00:00,19.451529984405624,507.32000732421875,317.2300109863281
2026-09-01 08:23:00+00:00,19.463125797005887,507.32000732421875,317.2300109863281
2026-09-01 08:24:00+00:00,19.46086875032688,507.32000732421875,317.2300109863281
2026-09-01 08:25:00+00:00,19.47246321821558,507.32000732421875,317.2300109863281
2026-09-01 08:26:00+00:00,19.47246321821558,507.32000732421875,317.2300109863281
2026-09-01 08:27:00+00:00,19.480518410068726,507.32000732421875,317.2300109863281
2026-09-01 08:28:00+00:00,19.480518410068726,507.32000732421875,317.2300109863281
2026-09-01 08:29:00+00:00,19.468924809143573,507.32000732421875,317.2300109863281
2026-09-01 08:30:00+00:00,19.46086875032688,507.32000732421875,317.2300109863281
2026-09-01 08:31:00+00:00,19.445733183943048,507.32000732421875,317.2300109863281
2026-09-01 08:32:00+00:00,19.44347815420315,507.32000732421875,317.2300109863281
2026-09-01 08:33:00+00:00,19.435425457293604,507.32000732421875,317.2300109863281
