Date,GOOG,META,MSFT,AAPL
2021-09-08,121.18312411616898,316.02231536685395,243.27101237254283,127.74004231876006
2021-09-09,121.45914852039095,317.0371853747929,241.37110348059832,127.14625517078457
2021-09-10,118.88238605035804,317.43274159765133,239.9821238087934,122.86656127570132
2021-09-13,120.31784428988703,315.9786185723751,241.30585329225505,123.49079866060856
2021-09-14,120.26835508418299,315.99538625418245,243.5809099284761,122.30995598417758
2021-09-15,121.84984953766616,313.9903359496748,247.81408517141244,123.1340844991064
2021-09-16,120.99739748864067,312.87021610279226,247.82409330060182,122.77962982185363
2021-09-17,119.08772844187297,307.2409749657236,244.56690302927382,121.06480751864001
2021-09-20,117.40275785105769,300.6016233173432,240.7923040234018,118.85795806301758
2021-09-21,117.93163684135925,302.0988154347251,241.195717512006,119.2625754429746
2021-09-22,119.09674194308354,290.21985493626744,244.44032522983252,121.35026358697905
2021-09-23,120.2081705128694,293.42662026274775,245.9814487612748,122.53369329573798
2021-09-24,120.35059135433585,298.0236286054569,244.70877503891825,122.05992797428917
2021-09-27,119.57065107262588,298.98525848975805,240.82714125663006,120.94944150706306
2021-09-28,115.3360344136463,288.6983548803837,232.62938154031326,118.33572964022278
2021-09-29,114.02957404970948,288.07451272409526,233.23178784470656,119.20951262783638
2021-09-30,113.79041818398218,289.9906655965642,233.21460330741684,118.96203915165825
2021-10-01,116.7932750670243,293.77059675607416,239.7146516684661,120.20989561557144
2021-10-04,114.16128376988581,278.61030640560784,234.0849696677651,116.92091150785018
2021-10-05,116.10779586926583,284.08393067047655,238.52650751623514,118.46212612313138
2021-10-06,117.33721296695876,285.21314851241186,242.58672631549416,119.43917599273846
2021-10-07,119.32097553037693,282.42686594224506,244.8871030949431,120.94910702773268
2021-10-08,120.02145131507314,283.0308459003936,244.79371239243847,120.57392078480734
2021-10-11,118.92119471328715,278.9345573497667,244.14625432711,120.43255604624665
2021-10-12,117.2175918381181,277.7899753910606,243.28465551929548,119.46318147187412
2021-10-13,118.4374815957035,278.9267643154599,246.55462853774588,119.16006977799225
2021-10-14,120.76744286466601,280.7601728716072,250.48953910923956,120.88311128118949
2021-10-15,121.07622288775019,277.7315537836257,251.8727483129769,121.87600011430186
2021-10-18,122.11675911814928,286.64314579853453,254.30198055449,123.25630401658964
2021-10-19,122.67456341958132,290.1966767263766,254.71002006631898,124.93362408940447
2021-10-20,121.28537906769907,290.4182277155687,253.6370871813324,125.1584630539628
2021-10-21,121.3562262997275,290.7795397000027,255.89406905935357,125.09506437981781
