Date,META,MSFT,GOOG,AAPL
2021-09-08,316.0222895996412,243.2709608381174,121.1831498833817,127.74004231876006
2021-09-09,317.0371853747929,241.37102601892911,121.45916143066916,127.14625517078457
2021-09-10,317.43274159765133,239.9820463918004,118.88238605035804,122.86658708136565
2021-09-13,315.9785927361936,241.30585329225505,120.3178572079778,123.49082449679008
2021-09-14,315.9953345818194,243.58088409229458,120.26836800227375,122.30999473844986
2021-09-15,313.9902842467927,247.81408517141244,121.8499012405482,123.1340974248269
2021-09-16,312.87019028418945,247.824067481999,120.99739748864067,122.77962982185363
2021-09-17,307.2410008995612,244.5668511615986,119.08772844187297,121.0647945517212
2021-09-20,300.60164933418855,240.7923040234018,117.40277085948037,118.8579450545949
2021-09-21,302.0988414509611,241.19579556071403,117.93162383324125,119.2626014592106
2021-09-22,290.2198809686779,244.44035126224298,119.09672892687831,121.35026358697905
2021-09-23,293.4266463735876,245.98152709379428,120.20818356828931,122.53369329573798
2021-09-24,298.02365459941393,244.70874904496122,120.35061734829287,122.05991497731065
2021-09-27,298.9852324576532,240.82716728873493,119.57065107262588,120.94945452311549
2021-09-28,288.69838097092907,232.6293554497679,115.3360344136463,118.33575573076814
2021-09-29,288.07451272409526,233.23181395859865,114.02958710665553,119.20949957089033
2021-09-30,289.9906655965642,233.21468222129442,113.79041818398218,118.96202599934531
2021-10-01,293.77057038980274,239.7146253021947,116.79328825016,120.20992198184285
2021-10-04,278.6103326974171,234.08491708414658,114.16127062398118,116.92093779965944
2021-10-05,284.0839569369564,238.52650751623514,116.10782213574566,118.46212612313138
2021-10-06,285.21322746382793,242.58675263263285,117.3372261255281,119.43920230987715
2021-10-07,282.42683953233245,244.88707668503048,119.32098873533323,120.94909382277638
2021-10-08,283.03089870007534,244.7936859925976,120.0214381151527,120.57390758488691
2021-10-11,278.9346365062611,244.14625432711,118.92118152053808,120.43251646799945
2021-10-12,277.78994897748635,243.28462910572125,117.2175918381181,119.46323429902259
2021-10-13,278.9267643154599,246.55460207900614,118.43749482507337,119.16010946610186
2021-10-14,280.7601728716072,250.48953910923956,120.76742971006388,120.88309812658736
2021-10-15,277.7315274561115,251.8727483129769,121.07622288775019,121.87600011430186
2021-10-18,286.64314579853453,254.3018752944772,122.11675911814928,123.25626454408484
2021-10-19,290.19659789581056,254.71007262002968,122.67455028115364,124.93365036625983
2021-10-20,290.41825395153137,253.63706094536974,121.28540530366172,125.15848928992546
2021-10-21,290.77956588408415,255.894095243435,121.35623939176821,125.09507747185853
2021-10-22,276.79557775994544,255.22635615563559,118.12499495117481,124.75155273619475
2021-10-25,279.9194351646838,254.0537038084367,118.10126240194586,124.55160415777755
2021-10-26,269.60797168217323,256.3111996558473,119.1569037328045,125.42724009262929
2021-10-27,266.85269596314174,267.41572562821966,125.0652337875581,125.17763974742411
2021-10-28,270.8258020460162,268.348563375288,124.78998712399607,128.28520007065526
2021-10-29,274.5327426252261,272.4028398892533,125.71399389249382,125.05604428348033
2021-11-01,283.04607846171166,273.5259299846348,123.24036830336809,125.72057984734784
2021-11-02,280.37561123295745,275.6253528580237,124.56863615977272,126.14692532325353
2021-11-03,283.8939835472338,276.8260256921785,125.57837432019005,127.6046374977559
2021-11-04,286.6163254814819,277.97661298412095,126.80019272358095,126.76065248685063
2021-11-05,292.6440688325347,279.11398009490404,127.94134266975016,127.8797019337253
2021-11-08,290.1517338175181,279.5596851192531,127.88663206587262,127.02122645531199
2021-11-09,286.8051209346304,278.1520305130107,127.5485789801678,127.08470134361414
2021-11-10,280.09703324789007,273.7928387508,125.26380986812,124.60598247910639
2021-11-11,282.85637147374655,277.7676707573919,126.56443911138922,125.75262071767429
2021-11-12,295.107765141398,282.2150766738523,129.45921177867058,127.94670081816457
2021-11-15,301.12309086152527,281.89607745573994,129.34003935033343,128.05777880288042
2021-11-16,299.10275256689783,286.66490585283464,129.9234867543273,129.7640185757
2021-11-17,298.38188524864563,288.00715360011054,130.4310608357855,132.43161350833816
2021-11-18,296.5606181090061,289.83311111453986,131.87219196803653,136.2106808238832
2021-11-19,301.0921673316243,290.18500193596446,130.6650974281156,137.94745318363493
2021-11-22,299.7954654867608,289.77328154520364,129.21417501263386,139.48844068518338
2021-11-23,297.37579683443437,288.8003918686154,129.31699178682356,140.24408218455937
2021-11-24,300.6609943114745,288.92563959982,129.25020233379655,140.66979505628296
2021-11-25,301.7868551026768,290.0075559619454,129.73419506253686,141.19654980584073
2021-11-26,294.5860772377473,282.77622972101926,126.20049185444623,136.6424752630901
2021-11-29,296.71657100746415,286.60134482939975,128.1685027780468,138.598303818565
2021-11-30,284.7986028218893,281.4525272332812,124.95345140743575,142.97164933468048
2021-12-01,271.74608752507265,280.1043774703121,123.81789816553555,142.04970580281497
2021-12-02,271.8208546752285,279.8697517965047,125.824704804465,141.31334806959785
2021-12-03,269.0282757987152,274.6886083916761,124.87235427141422,139.82093082324718
2021-12-06,278.7337330313312,277.42743337981665,126.00601802273559,142.8452706455846
2021-12-07,283.51991171264854,285.30970304921175,129.92970118120502,148.14602078878306
2021-12-08,290.5887796376737,285.60986641842646,130.6479007075086,151.6580484771157
2021-12-09,288.17274197157167,282.28601863109725,129.31580659583415,150.2868617479271
2021-12-10,289.4452970249786,291.6297314024887,130.41351837820548,155.2120788074344
2021-12-13,293.12508563109077,288.48317281588606,128.47431217359554,151.75427652563485
2021-12-14,293.15269471236024,279.73593798892034,127.25307760083888,150.88920273405438
2021-12-15,300.7529862978263,285.7232175494428,129.63535970290104,155.52368462149752
2021-12-16,294.0321711009983,276.6738914296275,127.07694651829115,149.02688029650562
2021-12-17,291.93594478903833,274.6818008772243,124.81149651374835,147.49120699371815
2021-12-20,286.93553828912263,273.56883441857644,125.4635803462661,147.4721862706574
2021-12-21,293.76215345300443,279.03642620801656,126.68330098471051,149.83411303098364
2021-12-22,290.2071252383648,283.8220107754769,128.96503961469443,151.99389348152818
2021-12-23,293.3403068240932,284.05180702620237,128.6640210938449,151.99154047390857
2021-12-24,293.38018015174384,284.0904177813827,128.6815102099008,152.0122004662535
2021-12-27,303.0365786074108,290.7562562930834,129.52259597394732,155.54690012046922
2021-12-28,302.9171846342815,289.58979483475014,128.04369019958904,154.57102627680342
2021-12-29,300.45187661913224,290.57504447508836,128.26580823369295,154.85714972036658
2021-12-30,300.4909705420141,287.1884112583939,127.31575186320697,153.22401239682222
2021-12-31,294.41165576569983,285.53223476526546,126.55334729430615,153.15585159744296
2022-01-03,295.06679685744166,282.98908021498755,126.35846738194778,156.31688987759117
2022-01-04,295.16304199213664,279.8890845975893,126.5779057329155,155.30541701471975
2022-01-05,284.7915543286945,269.58891949325334,120.84939158157795,151.42376573348884
2022-01-06,291.30328354934136,266.75245429717506,120.4405445194061,148.50284504001593
2022-01-07,291.143876211514,267.28099824239325,120.13851085150964,148.8682735514958
2022-01-10,286.4323555856772,266.1321270819499,120.9038758055085,148.1371345787975
2022-01-11,292.5393069643087,267.287521494718,122.41715375595504,150.93635439371155
2022-01-12,290.64322008266936,269.22253180623557,123.4498089881863,150.84419752046597
2022-01-13,282.859589921105,256.1344683116058,120.4595425459338,147.00182510244667
2022-01-14,287.1671358484855,260.32043542680185,120.86369096738963,147.55359649630918
2022-01-17,288.33512158439953,261.3792284340416,121.35527600417572,148.15373653490133
2022-01-18,276.3931114164043,255.02035608103142,118.32156026190114,145.35616437126737
2022-01-19,279.62734591202025,257.41898886159834,118.60846773160301,143.3165023243182
2022-01-20,276.6404966403388,255.64057850746394,116.59100643758393,141.66167511709318
2022-01-21,265.6332433300413,251.57683205809735,113.90682758141702,140.219791172658
2022-01-24,269.82626077632267,251.25029733931842,113.87303022715423,139.1967294961123
2022-01-25,262.7461197641096,244.94442260899814,110.86621977441246,137.8227074179449
2022-01-26,258.3608853676651,252.3601670395692,113.2530266871754,137.9837755812332
2022-01-27,259.77162598611903,256.4061394058517,113.76271009167976,138.32416111196653
2022-01-28,268.30782328026544,265.88859915595094,118.45206128888094,149.25717061159958
2022-01-31,278.44563805009966,268.10613121224014,120.53511159508162,153.0832359525939
2022-02-01,281.5966858941265,264.3605049173748,121.62878666072447,151.88199446516228
2022-02-02,284.00699701385565,267.32978323874886,130.07635555602246,152.3507268027006
2022-02-03,208.57645311617034,256.32582164887936,125.05549079298817,149.45896215274843
2022-02-04,205.51858652254577,257.22488765981325,123.88693648057142,147.43589601450094
2022-02-07,194.63052035857436,252.60109018227377,120.1506729521825,146.56310341625795
2022-02-08,190.740302008031,255.9035374515206,120.51673807503084,149.42868521608034
2022-02-09,201.36165583573802,261.9877854082679,122.68852434671953,150.9542181713905
2022-02-10,197.94616359360225,254.54861804746906,120.21342399204877,147.38849695530735
2022-02-11,190.65159406077964,248.50014112317513,116.39545068191,144.48440577445672
2022-02-14,189.88456634528575,249.5698176109181,117.9321288433357,145.33252127285778
2022-02-15,193.7641184218155,255.51764650721452,119.53073812418734,149.46968659604318
2022-02-16,189.01015258199368,254.08538524185496,119.92599323755712,148.5988022225447
2022-02-17,181.00835305639157,246.2446950413214,115.22107118781787,145.20203600419518
2022-02-18,179.796565591324,244.06175830054963,113.70571125901552,143.95484733383364
2022-02-21,180.57928816517597,245.12425160795829,114.20071530253335,144.58153732790015
2022-02-22,177.1237148866985,245.10898709594767,113.34412659172267,142.10102547491442
2022-02-23,173.64300584246394,238.3519376892873,111.56006584837178,138.18774526083507
2022-02-24,182.0258133438847,251.04953817354726,116.24995258573108,140.78396989480552
2022-02-25,186.4476410926727,255.97134540585103,119.07877046403883,144.07493119742867
2022-02-28,187.09594136199303,257.46728793123657,119.51050772819963,144.435244749493
2022-03-01,179.85027050048484,253.36828457703814,118.5004545973552,142.3119997085596
2022-03-02,185.30753524487227,259.79589103239414,119.90484591552558,146.32689057031894
2022-03-03,181.0626823129487,256.5708108363324,119.72973670869942,146.30522497162474
2022-03-04,179.2005615826456,252.34998275259568,118.26526521833148,144.20246998611037
2022-03-07,170.8929586050872,247.11118982703192,115.20306379342583,143.2720795410787
2022-03-08,173.61073269559256,244.60738901261902,116.04294035509156,141.71930835364492
2022-03-09,180.55409834961574,255.05190343755385,121.68025748581022,146.23606558669417
2022-03-10,174.74595997618326,248.4756928159204,118.69161695352886,140.00463187917467
2022-03-11,168.85577633373032,244.99799185849042,117.35237721954945,137.4003445715607
2022-03-14,169.23180400608635,243.63361386016913,114.84726705778348,134.75241675450525
2022-03-15,173.95135510461114,252.81537920192932,117.37334403623026,138.61041929084968
2022-03-16,184.0192346944832,258.57131746726554,120.73271503915385,142.29199330969914
2022-03-17,186.92753985753734,258.06305083879306,120.97448671001712,142.52705279801194
2022-03-18,193.34660999080825,260.7821807741766,122.09352315976048,144.49171696998746
2022-03-21,189.84551367953827,261.00570792114013,122.42715227559529,146.46936611654382
2022-03-22,194.93489282172231,265.90471373772016,126.13099561548734,149.86772452156583
2022-03-23,191.84667436603831,261.6109312993558,124.39458736408596,150.93021455981216
2022-03-24,197.75809996544922,266.20338251264,127.18716901188145,154.6815871969784
2022-03-25,199.72520945590077,265.7566889366717,127.33787534566545,155.21302192615622
2022-03-28,201.82643070039376,272.5855645863794,128.04543745134652,156.3880650799956
2022-03-29,207.26060046570274,276.41694753811316,129.07763629348847,159.20717925969075
