Datetime,ALWN.AT
2026-08-10 10:30:00+03:00,13.470000267028809
2026-08-10 11:30:00+03:00,13.494999885559082
2026-08-10 12:30:00+03:00,13.5649995803833
2026-08-10 13:30:00+03:00,13.5649995803833
2026-08-10 14:30:00+03:00,13.569999694824219
2026-08-10 15:30:00+03:00,13.574999809265137
2026-08-10 16:30:00+03:00,13.53499984741211
2026-08-11 10:30:00+03:00,13.539999961853027
2026-08-11 11:30:00+03:00,13.59000015258789
2026-08-11 12:30:00+03:00,13.574999809265137
2026-08-11 13:30:00+03:00,13.600000381469727
2026-08-11 14:30:00+03:00,13.579999923706055
2026-08-11 15:30:00+03:00,13.569999694824219
2026-08-11 16:30:00+03:00,13.520000457763672
2026-08-12 10:30:00+03:00,13.604999542236328
2026-08-12 11:30:00+03:00,13.539999961853027
2026-08-12 12:30:00+03:00,13.550000190734863
2026-08-12 13:30:00+03:00,13.574999809265137
2026-08-12 14:30:00+03:00,13.645000457763672
2026-08-12 15:30:00+03:00,13.609999656677246
2026-08-12 16:30:00+03:00,13.5
2026-08-13 10:30:00+03:00,13.479999542236328
2026-08-13 11:30:00+03:00,13.5
2026-08-13 12:30:00+03:00,13.479999542236328
2026-08-13 13:30:00+03:00,13.479999542236328
2026-08-13 14:30:00+03:00,13.46500015258789
2026-08-13 15:30:00+03:00,13.489999771118164
2026-08-13 16:30:00+03:00,13.4399995803833
2026-08-14 10:30:00+03:00,13.489999771118164
2026-08-14 11:30:00+03:00,13.494999885559082
2026-08-14 12:30:00+03:00,13.510000228881836
2026-08-14 13:30:00+03:00,13.5600004196167
2026-08-14 14:30:00+03:00,13.59000015258789
2026-08-14 15:30:00+03:00,13.680000305175781
2026-08-14 16:30:00+03:00,13.680000305175781
2026-08-17 10:30:00+03:00,13.595000267028809
2026-08-17 11:30:00+03:00,13.625
2026-08-17 12:30:00+03:00,13.664999961853027
2026-08-17 13:30:00+03:00,13.795000076293945
2026-08-17 14:30:00+03:00,13.899999618530273
2026-08-17 15:30:00+03:00,14.104999542236328
2026-08-17 16:30:00+03:00,14.100000381469727
2026-08-18 10:30:00+03:00,14.335000038146973
2026-08-18 11:30:00+03:00,14.220000267028809
2026-08-18 12:30:00+03:00,14.350000381469727
2026-08-18 13:30:00+03:00,14.295000076293945
2026-08-18 14:30:00+03:00,14.1850004196167
2026-08-18 15:30:00+03:00,14.225000381469727
2026-08-18 16:30:00+03:00,14.175000190734863
2026-08-19 10:30:00+03:00,14.180000305175781
2026-08-19 11:30:00+03:00,14.03499984741211
2026-08-19 12:30:00+03:00,14.0
2026-08-19 13:30:00+03:00,14.0
2026-08-19 14:30:00+03:00,14.0600004196167
2026-08-19 15:30:00+03:00,14.074999809265137
2026-08-19 16:30:00+03:00,13.979999542236328
2026-08-20 10:30:00+03:00,14.045000076293945
2026-08-20 11:30:00+03:00,13.904999732971191
2026-08-20 12:30:00+03:00,13.920000076293945
2026-08-20 13:30:00+03:00,14.005000114440918
2026-08-20 14:30:00+03:00,14.039999961853027
2026-08-20 15:30:00+03:00,14.045000076293945
2026-08-20 16:30:00+03:00,13.90999984741211
2026-08-21 10:30:00+03:00,14.180000305175781
2026-08-21 11:30:00+03:00,14.079999923706055
2026-08-21 12:30:00+03:00,14.039999961853027
2026-08-21 13:30:00+03:00,14.020000457763672
2026-08-21 14:30:00+03:00,14.045000076293945
2026-08-21 15:30:00+03:00,14.069999694824219
2026-08-21 16:30:00+03:00,14.100000381469727
2026-08-24 10:30:00+03:00,14.194999694824219
2026-08-24 11:30:00+03:00,14.229999542236328
2026-08-24 12:30:00+03:00,14.220000267028809
2026-08-24 13:30:00+03:00,14.194999694824219
2026-08-24 14:30:00+03:00,14.154999732971191
2026-08-24 15:30:00+03:00,14.164999961853027
2026-08-24 16:30:00+03:00,14.170000076293945
2026-08-25 10:30:00+03:00,14.244999885559082
2026-08-25 11:30:00+03:00,14.329999923706055
2026-08-25 12:30:00+03:00,14.395000457763672
