Date,AAPL,ETE.AT,MSFT
2021-09-08,127.74006808597278,2.2344722747802734,243.2709866053301
2021-09-09,127.14625517078457,2.196540117263794,241.37107766004192
2021-09-10,122.86657417853348,2.2309436798095703,239.98207219746473
2021-09-13,123.4907857425178,2.231825590133667,241.30587912843657
2021-09-14,122.30996890226834,2.2177114486694336,243.5809099284761
2021-09-15,123.13407157338588,2.223004102706909,247.81405931997142
2021-09-16,122.77960400325082,2.2847542762756348,247.82409330060182
2021-09-17,121.06482048555881,2.3288614749908447,244.5668770954362
2021-09-20,118.8579450545949,2.196540117263794,240.7923040234018
2021-09-21,119.2626014592106,2.239764928817749,241.19574352824202
2021-09-22,121.35026358697905,2.2582898139953613,244.4402731650116
2021-09-23,122.53368024031806,2.2141826152801514,245.98150098295446
2021-09-24,122.05991497731065,2.1894826889038086,244.70869705704717
2021-09-27,120.94942849101062,2.1700756549835205,240.82714125663006
2021-09-28,118.33575573076814,2.1180288791656494,232.62940763085862
2021-09-29,119.20951262783638,2.1012680530548096,233.23176173081447
2021-09-30,118.96203915165825,2.1347899436950684,233.21468222129442
2021-10-01,120.20989561557144,2.1145005226135254,239.7146253021947
2021-10-04,116.92097723737334,2.1612539291381836,234.08489079233732
2021-10-05,118.46212612313138,2.196540117263794,238.5264812497553
2021-10-06,119.43917599273846,2.140082597732544,242.58669999835547
2021-10-07,120.94908061782007,2.2265329360961914,244.8871030949431
2021-10-08,120.57393398472777,2.2697577476501465,244.79371239243847
2021-10-11,120.43250327525038,2.251232624053955,244.14620155611374
2021-10-12,119.46322109223547,2.2582898139953613,243.28468193286972
2021-10-13,119.16008300736212,2.196540117263794,246.5547079139651
2021-10-14,120.88311128118949,2.187718391418457,250.48953910923956
2021-10-15,121.87600011430186,2.2582898139953613,251.8726956579485
2021-10-18,123.25627770158644,2.2503509521484375,254.3018752944772
2021-10-19,124.93362408940447,2.2776970863342285,254.71004634317433
2021-10-20,125.15850240790678,2.355325937271118,253.63711341729504
2021-10-21,125.09509056389925,2.372968912124634,255.894095243435
2021-10-22,124.75156586165213,2.3817903995513916,255.2263036538061
2021-10-25,124.55160415777755,2.3817903995513916,254.0537038084367
2021-10-26,125.42726637436681,2.3747329711914062,256.31125221932234
2021-10-27,125.17763974742411,2.399433135986328,267.41572562821966
2021-10-28,128.2851869166634,2.399433135986328,268.3485896832717
2021-10-29,125.05608346347253,2.399433135986328,272.4028398892533
2021-11-01,125.72055344048749,2.4170761108398438,273.52595639149513
2021-11-02,126.14695163245779,2.4250152111053467,275.62537916722795
2021-11-03,127.6046902077178,2.4700047969818115,276.8259993371976
2021-11-04,126.76067875943318,2.4611830711364746,277.9765867115384
2021-11-05,127.87972834363791,2.4700047969818115,279.1139272750788
2021-11-08,127.0212396448569,2.507054567337036,279.55971149834295
2021-11-09,127.08468817985704,2.4744155406951904,278.1520831680391
2021-11-10,124.605995638286,2.460301160812378,273.79281243244077
2021-11-11,125.75256757863463,2.3906116485595703,277.76761761835223
2021-11-12,127.94667416716311,2.315629482269287,282.2150766738523
2021-11-15,128.05776546669858,2.3023972511291504,281.89607745573994
2021-11-16,129.76403200007735,2.371204376220703,286.66490585283464
2021-11-17,132.43160003024968,2.488529682159424,288.00715360011054
2021-11-18,136.21066734579472,2.5052902698516846,289.8331380707168
2021-11-19,137.947466605724,2.496469259262085,290.1850824684989
2021-11-22,139.48841362036364,2.447950839996338,289.77336273966284
2021-11-23,140.24406861171428,2.355325937271118,288.8003918686154
2021-11-24,140.66978148679482,2.332390308380127,288.9256667387963
2021-11-25,141.19653618554003,2.372968912124634,290.0075832025468
2021-11-26,136.64248887530357,2.2591724395751953,282.77622972101926
2021-11-29,138.59827679555474,2.320039987564087,286.6012907833792
2021-11-30,142.97166284588002,2.3262150287628174,281.4525272332812
2021-12-01,142.04973273732412,2.3773794174194336,280.1043236012938
2021-12-02,141.31334806959785,2.372968912124634,279.8697787566489
2021-12-03,139.82090383136529,2.4373655319213867,274.6886893673218
2021-12-06,142.84523015272498,2.404726028442383,277.42748737029615
2021-12-07,148.14602078878306,2.4700047969818115,285.30962193349114
2021-12-08,151.6580755401037,2.5141117572784424,285.60986641842646
2021-12-09,150.28688864612013,2.4947047233581543,282.2859648347112
2021-12-10,155.21205178472974,2.5132296085357666,291.6297314024887
2021-12-13,151.75427652563485,2.4329545497894287,288.4831997943402
2021-12-14,150.88918921324148,2.492058277130127,279.73585686404294
2021-12-15,155.52368462149752,2.496469259262085,285.7232175494428
2021-12-16,149.02685326769642,2.5661582946777344,276.6738914296275
2021-12-17,147.49123391907233,2.5141117572784424,274.6817739518701
2021-12-20,147.4722405553257,2.459418773651123,273.5688072762423
2021-12-21,149.83414009153057,2.5141117572784424,279.0364803291104
2021-12-22,151.9938529268711,2.536165475845337,283.8220107754769
2021-12-23,151.99156741177558,2.562629461288452,284.05175315046836
2021-12-24,152.01222740778212,2.562629461288452,284.09036389832545
2021-12-27,155.54695401817298,2.5582191944122314,290.7562562930834
2021-12-28,154.57105321192375,2.575862169265747,289.5897409645095
2021-12-29,154.85717669180303,2.588212013244629,290.574963560779
2021-12-30,153.22403926053084,2.547633409500122,287.1884918495198
2021-12-31,153.15585159744296,2.5864477157592773,285.5321539241995
2022-01-03,156.31691670986584,2.5582191944122314,282.9891338795369
2022-01-04,155.30545751673344,2.56704044342041,279.8891656016167
2022-01-05,151.42376573348884,2.5485153198242188,269.58891949325334
2022-01-06,148.50285852725938,2.5485153198242188,266.75245429717506
2022-01-07,148.86826004441536,2.635847806930542,267.2809712282324
2022-01-10,148.13709426126206,2.7258267402648926,266.132073325236
2022-01-11,150.93638132791511,2.800809144973755,267.287521494718
2022-01-12,150.84422436922068,2.8299195766448975,269.22253180623557
2022-01-13,147.00178509390116,2.848444700241089,256.1344949839695
2022-01-14,147.55359649630918,2.7778730392456055,260.32038215409557
2022-01-17,148.15373653490133,2.81668758392334,261.3791749446609
2022-01-18,145.35617774376533,2.807866096496582,255.02035608103142
2022-01-19,143.31651579233585,2.8493268489837646,257.4190427336689
2022-01-20,141.66168856878357,2.904019832611084,255.64060541084473
2022-01-21,140.21980465959678,2.851091146469116,251.57691297972997
2022-01-24,139.1967429500919,2.6896586418151855,251.25029733931842
2022-01-25,137.82272089252365,2.748762369155884,244.94439565984067
2022-01-26,137.98372158953498,2.911076784133911,252.36022103126743
2022-01-27,138.32420182546775,2.9807662963867188,256.4060851211834
2022-01-28,149.2571843002588,3.0010554790496826,265.88857177863247
2022-01-31,153.08327699888832,3.0786845684051514,268.1061859406327
2022-02-01,151.88200805311408,3.13161301612854,264.3605320932784
2022-02-02,152.3507268027006,3.1025021076202393,267.32983737693394
2022-02-03,149.45897565616633,3.1227915287017822,256.32576763520774
2022-02-04,147.4359360436465,3.2110061645507812,257.2248609737162
2022-02-07,146.56313005718766,3.17572021484375,252.6011434641332
2022-02-08,149.42868521608034,3.1466095447540283,255.9035107822092
2022-02-09,150.95419145142023,3.1810131072998047,261.9877854082679
2022-02-10,147.3885103149878,3.2771670818328857,254.54864476682997
2022-02-11,144.4843924077577,3.307159900665283,248.50016785657317
2022-02-14,145.33253469891406,3.2021846771240234,249.56979075880554
2022-02-15,149.46965960446687,3.307159900665283,255.51778146509605
2022-02-16,148.59882909418775,3.33097767829895,254.0853583702119
2022-02-17,145.20204941819702,3.307159900665283,246.24472186932508
2022-02-18,143.9548876069657,3.280695676803589,244.0617314517949
2022-02-21,144.58157777635643,3.2286489009857178,245.12422464232077
2022-02-22,142.10099849127255,3.187188148498535,245.10904106323142
2022-02-23,138.18771832357925,3.2374703884124756,238.351829940264
2022-02-24,140.78401038445918,2.99929141998291,251.04953817354726
2022-02-25,144.07489029166754,3.1933631896972656,255.97137267635844
2022-02-28,144.435244749493,2.911076784133911,257.4673152252435
2022-03-01,142.31201331314332,2.74346923828125,253.3683662045405
2022-03-02,146.32690427652597,2.6137943267822266,259.7958636199801
2022-03-03,146.30521124024017,2.5979156494140625,256.5708382991015
2022-03-04,144.20248377395183,2.3906116485595703,252.34990002554696
2022-03-07,143.27206550940173,2.3906116485595703,247.111133700324
2022-03-08,141.71930835364492,2.3465044498443604,244.60733283830086
2022-03-09,146.23607958785396,2.527343988418579,255.05184743291466
2022-03-10,140.00465943746258,2.364147424697876,248.4756376993446
2022-03-11,137.4003722796897,2.4144296646118164,244.99793644223246
2022-03-14,134.75241675450525,2.5132296085357666,243.63361386016913
2022-03-15,138.61046112175245,2.5061726570129395,252.8153513146608
2022-03-16,142.29202113043812,2.7787554264068604,258.5713731087435
2022-03-17,142.52703895401737,2.6464335918426514,258.0630785267822
2022-03-18,144.49174446449433,2.6905407905578613,260.7821532796697
2022-03-21,146.4693799339875,2.74346923828125,261.00559738159063
2022-03-22,149.86773837151122,2.800809144973755,265.90471373772016
2022-03-23,150.93021455981216,2.73905873298645,261.6109589678126
2022-03-24,154.6815871969784,2.7143588066101074,266.2033270579286
2022-03-25,155.21302192615622,2.7143588066101074,265.7567166557874
2022-03-28,156.38807897449624,2.8493268489837646,272.58559237538066
2022-03-29,159.20719313908558,2.9904701709747314,276.41694753811316
2022-03-30,156.75584272134074,2.9375410079956055,272.6362675043856
2022-03-31,152.99939809375428,2.958712577819824,266.1280933314847
2022-04-01,153.97084476674536,3.0345773696899414,269.24462714396395
2022-04-04,157.9766827080748,3.095445156097412,274.69607408202137
2022-04-05,155.99276038999415,3.096327304840088,272.8932862460242
2022-04-06,154.08928955982992,3.048691511154175,264.5773916778853
2022-04-07,154.48349076905106,3.0460453033447266,266.4296659240172
2022-04-08,153.11281895401407,3.1580772399902344,263.34676022815984
2022-04-11,148.93044026495772,3.219827890396118,252.49535889644176
2022-04-12,150.7433617670613,3.2903990745544434,249.82317505617902
2022-04-13,153.9401949796984,3.2586419582366943,255.96708266434325
2022-04-14,148.35870578424147,3.260406255722046,247.4248287108403
2022-04-15,149.39494743241448,3.260406255722046,249.1530179057172
2022-04-18,149.27520772270782,3.260406255722046,249.89979514693005
2022-04-19,151.85215890660402,3.396256446838379,254.9469261608465
2022-04-20,151.51966442804405,3.4818246364593506,255.5933601499437
2022-04-21,150.01587332621511,3.5815069675445557,249.3600064757993
2022-04-22,146.04003345998353,3.5815069675445557,243.66926892860647
2022-04-25,147.35209486779968,3.5815069675445557,250.17535743823828
2022-04-26,143.13380635724116,3.515345811843872,242.99430903981192
2022-04-27,143.87172673663008,3.4703567028045654,256.3736793972639
2022-04-28,151.6294874072555,3.4130172729492188,264.37491890871024
2022-04-29,146.78683748848016,3.3742027282714844,254.54815283756034
2022-05-02,146.6321269731925,3.3742027282714844,260.1362917932238
2022-05-03,148.42210641677957,3.263934850692749,258.33605864917627
2022-05-04,154.22290778587922,3.216298818588257,265.36208923062077
2022-05-05,144.34223369616302,3.0945627689361572,251.5598151696704
2022-05-06,146.162986580116,2.9384236335754395,251.1394295086302
2022-05-09,141.41325035742557,2.9816484451293945,242.03433731777204
2022-05-10,143.23464121574216,2.971944808959961,245.7509344407954
2022-05-11,136.2324835028603,2.9375410079956055,238.3301861646296
2022-05-12,132.82697801933045,2.822862386703491,234.02878298319956
2022-05-13,138.82131429710807,2.8784372806549072,242.38124688247171
2022-05-16,137.06182617375634,2.8616769313812256,242.2427024947574
2022-05-17,140.0303022869648,2.9225449562072754,246.2635159640231
2022-05-18,130.76577536357672,2.955183982849121,232.62445906938046
2022-05-19,128.45833076805866,2.786694288253784,233.42616791647015
2022-05-20,127.39037857951826,2.911076784133911,230.55232850101856
2022-05-23,132.61610187755286,2.968416213989258,238.14379509062564
2022-05-24,128.7012000388495,3.0063483715057373,234.7105899752205
2022-05-25,128.19415781040152,3.0707449913024902,236.12810588423872
2022-05-26,131.78081858313817,3.0786845684051514,240.28531263567857
2022-05-27,136.5596333207577,3.17572021484375,245.85221946563252
2022-05-30,136.57868693431192,3.2286489009857178,245.88652223188365
2022-05-31,135.31783962949703,3.1254379749298096,243.6980222531638
2022-06-01,135.69638102202225,3.1730737686157227,245.0881137724391
2022-06-02,139.01283901826446,3.2021846771240234,248.88493782706064
2022-06-03,132.44841313506186,3.2215917110443115,242.5455627618794
2022-06-06,133.4514624215044,3.248056173324585,241.9679289682208
2022-06-07,136.2382264017051,3.184541702270508,246.1390416070917
