Date,TTWO,ALWN.AT,ELPE.AT,ETE.AT
2021-09-07,133.98653536815073,7.943645000457764,3.6446475982666016,2.311218738555908
2021-09-08,134.63001462935154,8.079119682312012,3.6693572998046875,2.2344722747802734
2021-09-09,132.8611963809799,8.02985668182373,3.632293224334717,2.196539878845215
2021-09-10,130.17166744445422,8.005224227905273,3.613760471343994,2.230943441390991
2021-09-13,129.47053120135024,8.08527660369873,3.6446475982666016,2.231825590133667
2021-09-14,128.81018423784735,8.226907730102539,3.675534248352051,2.2177114486694336
2021-09-15,129.34370403869252,8.202277183532715,3.632293224334717,2.223004102706909
2021-09-16,128.50258132020917,8.436274528503418,3.6570022106170654,2.2847542762756348
2021-09-17,128.8806696946449,8.491695404052734,3.5211002826690674,2.3288614749908447
2021-09-20,126.88907204277348,8.356222152709961,3.514922857284546,2.196539878845215
2021-09-21,124.22630416746142,8.313118934631348,3.539632558822632,2.239764928817749
2021-09-22,123.90261127054691,8.263854026794434,3.5211002826690674,2.2582898139953613
2021-09-23,125.49940164946747,8.374695777893066,3.5025687217712402,2.2141828536987305
2021-09-24,125.51682532799987,8.220749855041504,3.4593260288238525,2.1894826889038086
2021-09-27,126.80141963367169,8.079119682312012,3.533454656600952,2.1700754165649414
2021-09-28,127.47935694125499,8.011384010314941,3.5025687217712402,2.1180288791656494
2021-09-29,129.72412765167246,8.005224227905273,3.5025687217712402,2.1012682914733887
2021-09-30,132.80063977160535,8.239224433898926,3.477858304977417,2.1347899436950684
2021-10-01,136.97379509344228,8.282327651977539,3.5211002826690674,2.1145005226135254
2021-10-04,135.37221403876174,8.356222152709961,3.4593260288238525,2.1612541675567627
2021-10-05,139.45061950057607,8.313118934631348,3.6075832843780518,2.196539878845215
2021-10-06,142.66884060634766,8.29464340209961,3.582874298095703,2.140082597732544
2021-10-07,147.78436448227603,8.313118934631348,3.6570022106170654,2.2265326976776123
2021-10-08,150.2540078743259,8.313118934631348,3.7620182037353516,2.2697577476501465
2021-10-11,147.60451352757264,8.251538276672363,3.7496628761291504,2.251232862472534
2021-10-12,148.30685736115265,8.251538276672363,3.743485689163208,2.2582898139953613
2021-10-13,147.9102025259017,8.220749855041504,3.706421136856079,2.196539878845215
2021-10-14,146.0225030817528,8.251538276672363,3.7681949138641357,2.187718391418457
2021-10-15,147.14210742138675,8.313118934631348,3.792904853820801,2.2582898139953613
2021-10-18,148.09831175208092,8.239224433898926,3.792904853820801,2.2503509521484375
2021-10-19,148.1333151562485,8.362380027770996,3.817613124847412,2.2776970863342285
2021-10-20,149.1579541862011,8.511266708374023,3.823791027069092,2.355325937271118
2021-10-21,156.2074743459416,8.474043846130371,3.823791027069092,2.3729686737060547
2021-10-22,155.47933785617352,8.591912269592285,3.799081563949585,2.3817903995513916
2021-10-25,157.20671082226363,8.3313627243042,3.792904853820801,2.3817903995513916
2021-10-26,157.20343765702455,8.405804634094238,3.7002439498901367,2.3747332096099854
2021-10-27,155.980609091137,8.548487663269043,3.7805497646331787,2.399433135986328
2021-10-28,156.127689015716,8.548487663269043,3.7805497646331787,2.399433135986328
2021-10-29,154.91789811849594,8.343770980834961,3.6817116737365723,2.399433135986328
2021-11-01,159.04214258810043,8.312751770019531,3.7496628761291504,2.4170758724212646
2021-11-02,158.57467705199815,8.19488525390625,3.718775987625122,2.4250152111053467
2021-11-03,159.04058204290777,8.312751770019531,3.7125985622406006,2.4700045585632324
2021-11-04,166.07621922753424,8.269328117370605,3.706421136856079,2.4611833095550537
2021-11-05,162.00288041183467,8.176276206970215,3.706421136856079,2.4700045585632324
2021-11-08,160.03316696099319,8.176276206970215,3.7558398246765137,2.507054567337036
2021-11-09,161.1609821858292,8.126646041870117,3.743485689163208,2.4744153022766113
2021-11-10,157.6035991460085,8.269328117370605,3.7496628761291504,2.460301160812378
2021-11-11,161.68470794843233,8.374788284301758,3.7496628761291504,2.3906116485595703
2021-11-12,164.0319435905085,8.250716209411621,3.8855650424957275,2.315629243850708
2021-11-15,155.22240762100228,8.188680648803711,3.8732099533081055,2.3023972511291504
2021-11-16,158.0876693574064,8.033592224121094,3.811436891555786,2.371204376220703
2021-11-17,156.37942720085903,8.145256996154785,3.9164516925811768,2.488529682159424
2021-11-18,153.69420111179352,8.070813179016113,3.867033004760742,2.5052902698516846
2021-11-19,149.97691997885704,8.052203178405762,3.817613124847412,2.496469020843506
2021-11-22,146.25208799294705,7.940539360046387,3.7373082637786865,2.447950839996338
2021-11-23,146.88478666535957,7.853690147399902,3.7558398246765137,2.355325937271118
2021-11-24,146.11923364846007,7.779247760772705,3.7002439498901367,2.332390308380127
2021-11-25,146.66639446784757,7.940539360046387,3.792904853820801,2.3729686737060547
2021-11-26,151.35199649512833,7.599344730377197,3.613760471343994,2.2591724395751953
2021-11-29,150.17910944665527,7.64897346496582,3.619938373565674,2.320039987564087
2021-11-30,146.88176345930697,7.611751556396484,3.5952279567718506,2.3262152671813965
2021-12-01,141.52331122322175,7.599344730377197,3.6693572998046875,2.3773791790008545
2021-12-02,142.56793837848818,7.593141555786133,3.6940670013427734,2.3729686737060547
2021-12-03,146.62743319309084,7.7544331550598145,3.6878888607025146,2.4373655319213867
2021-12-06,145.4249492537383,7.729619979858398,3.675534248352051,2.404726266860962
2021-12-07,148.21893030231968,7.804062843322754,3.7125985622406006,2.4700045585632324
2021-12-08,151.24374119366166,7.74822998046875,3.6940670013427734,2.5141119956970215
2021-12-09,146.6473344948463,7.847485542297363,3.774371862411499,2.4947047233581543
2021-12-10,146.63549119670097,7.7978596687316895,3.7002439498901367,2.5132296085357666
2021-12-13,146.97882036255578,7.642769813537598,3.6446475982666016,2.4329545497894287
2021-12-14,148.53694635148713,7.543513298034668,3.706421136856079,2.492058038711548
2021-12-15,151.98119653873437,7.55592155456543,3.706421136856079,2.496469020843506
2021-12-16,152.9923714950246,7.599344730377197,3.7373082637786865,2.5661585330963135
2021-12-17,155.05365044545215,7.506289958953857,3.8485004901885986,2.5141119956970215
2021-12-20,158.6244963809586,7.506289958953857,3.7681949138641357,2.459418773651123
2021-12-21,159.11303926945038,7.568326473236084,3.7681949138641357,2.5141119956970215
2021-12-22,157.35888258246268,7.729619979858398,3.743485689163208,2.536165475845337
2021-12-23,157.0853025595743,7.822672367095947,3.7620182037353516,2.5626296997070312
2021-12-24,157.1066549397019,7.822672367095947,3.7620182037353516,2.5626296997070312
2021-12-27,158.56224758087774,7.7544331550598145,3.7681949138641357,2.5582191944122314
2021-12-28,158.33141149116,7.822672367095947,3.8423235416412354,2.575862169265747
2021-12-29,159.349148061905,7.810265064239502,3.8485004901885986,2.588212013244629
2021-12-30,159.17922648441163,7.7544331550598145,3.8485004901885986,2.547633409500122
2021-12-31,156.92676395915987,7.7358222007751465,3.8423235416412354,2.5864477157592773
2022-01-03,157.04105272253855,7.866097450256348,3.8917417526245117,2.5582191944122314
2022-01-04,160.9414747296887,7.946743488311768,3.910273790359497,2.56704044342041
2022-01-05,152.30035035317997,7.940539360046387,3.8855650424957275,2.5485153198242188
2022-01-06,145.49877735740756,7.940539360046387,3.8855650424957275,2.5485153198242188
2022-01-07,145.70392929580703,7.878503322601318,3.92262864112854,2.635847806930542
2022-01-10,125.9384474062872,7.804062843322754,3.8917417526245117,2.7258267402648926
2022-01-11,130.9925193540539,8.033592224121094,3.990579605102539,2.800808906555176
2022-01-12,137.29846379185983,8.238309860229492,4.132659435272217,2.8299195766448975
2022-01-13,135.32142359371664,8.225902557373047,4.200610637664795,2.848444700241089
2022-01-14,133.17488020736164,8.139052391052246,4.163546085357666,2.7778730392456055
2022-01-17,133.716538151627,8.294140815734863,4.13883638381958,2.81668758392334
2022-01-18,134.99757337358915,8.126646041870117,4.1511921882629395,2.807866096496582
2022-01-19,144.18807161797486,8.126646041870117,4.219143390655518,2.8493268489837646
2022-01-20,144.98300508857028,8.139052391052246,4.262384414672852,2.904019832611084
2022-01-21,145.62806710610494,7.971558570861816,4.13883638381958,2.851091146469116
2022-01-24,145.47498871024345,7.766840934753418,4.046176433563232,2.6896588802337646
2022-01-25,139.86945550426026,7.7544331550598145,4.070886135101318,2.748762369155884
2022-01-26,139.6960278049164,8.170071601867676,4.101772785186768,2.911076784133911
2022-01-27,139.8581508398056,8.182476997375488,4.07706356048584,2.9807662963867188
2022-01-28,142.405654446884,8.027388572692871,3.972048044204712,3.0010554790496826
2022-01-31,146.46207188061453,8.176276206970215,4.070886135101318,3.0786843299865723
2022-02-01,142.70262645184994,8.387195587158203,4.126482963562012,3.13161301612854
2022-02-02,146.39935672070987,8.269328117370605,4.114127159118652,3.1025023460388184
2022-02-03,144.2661822875698,8.188680648803711,4.058531284332275,3.1227915287017822
2022-02-04,153.02875488996506,8.064610481262207,4.070886135101318,3.2110061645507812
2022-02-07,152.85704970312872,8.046000480651855,4.083240509033203,3.17572021484375
2022-02-08,150.48557669260026,8.325160026550293,4.015289783477783,3.146609306335449
2022-02-09,150.89400471839872,8.48024845123291,4.052353858947754,3.1810131072998047
2022-02-10,151.59974878696812,8.5050630569458,4.095595836639404,3.2771668434143066
2022-02-11,150.2164740495873,8.430620193481445,4.095595836639404,3.307159662246704
2022-02-14,147.00323286479033,8.343770980834961,4.00293493270874,3.2021846771240234
2022-02-15,149.411816656444,8.498858451843262,4.039999008178711,3.307159662246704
2022-02-16,146.24722443105202,8.449230194091797,4.046176433563232,3.3309779167175293
2022-02-17,142.5284912971183,8.424415588378906,4.052353858947754,3.307159662246704
2022-02-18,139.44512912631035,8.523673057556152,4.064708232879639,3.280695676803589
2022-02-21,140.0521866083145,8.39339828491211,4.064708232879639,3.2286489009857178
2022-02-22,139.9511712677231,8.343770980834961,4.13883638381958,3.187188148498535
2022-02-23,139.30456388734092,8.250716209411621,4.3056254386901855,3.2374706268310547
2022-02-24,144.51124496215925,7.785451889038086,4.101772785186768,2.99929141998291
2022-02-25,147.69420476550295,7.990168571472168,4.379755020141602,3.1933629512786865
2022-02-28,144.88794314861298,8.033592224121094,4.348867893218994,2.911076784133911
2022-03-01,142.47608459290313,8.163866996765137,4.2870941162109375,2.74346923828125
2022-03-02,144.49249294031142,8.225902557373047,4.182078838348389,2.6137940883636475
2022-03-03,142.36418028623575,8.058406829833984,4.460060119628906,2.5979154109954834
2022-03-04,142.77782748009122,7.7978596687316895,4.293271064758301,2.3906116485595703
2022-03-07,145.2936372756958,7.7978596687316895,4.293271064758301,2.3906116485595703
2022-03-08,143.66820610433024,7.425644397735596,4.182078838348389,2.3465044498443604
2022-03-09,145.2712736673493,7.506289958953857,4.200610637664795,2.527343988418579
2022-03-10,142.94060919837375,7.326388835906982,4.015289783477783,2.364147424697876
2022-03-11,139.3597110584824,7.679990768432617,4.107950687408447,2.4144296646118164
2022-03-14,129.72843718667355,7.574531078338623,4.12030553817749,2.5132296085357666
2022-03-15,130.5651793658326,7.438052654266357,4.132659435272217,2.5061726570129395
2022-03-16,135.64141783618925,7.8598952293396,4.262384414672852,2.7787551879882812
2022-03-17,135.64743198246197,7.779247760772705,4.2870941162109375,2.6464335918426514
2022-03-18,136.37528355389804,7.723415851593018,4.32415771484375,2.6905407905578613
2022-03-21,136.93575831326598,7.6923980712890625,4.348867893218994,2.74346923828125
2022-03-22,138.2290614128142,7.779247760772705,4.416818618774414,2.800808906555176
2022-03-23,135.45200944900898,8.046000480651855,4.416818618774414,2.73905873298645
2022-03-24,136.73978373408318,8.008777618408203,4.342690944671631,2.7143588066101074
2022-03-25,140.33234730362892,8.008777618408203,4.342690944671631,2.7143588066101074
2022-03-28,142.50733390450478,8.15766429901123,4.4353508949279785,2.8493268489837646
2022-03-29,144.2352817470819,8.244514465332031,4.4909467697143555,2.9904701709747314
2022-03-30,140.70213158553088,8.176276206970215,4.546543598175049,2.9375412464141846
2022-03-31,137.737212109987,8.188680648803711,4.558898448944092,2.9587128162384033
2022-04-01,137.1704297558099,8.28173542022705,4.515655994415283,3.0345773696899414
2022-04-04,139.7900300770416,8.306548118591309,4.558898448944092,3.095445156097412
2022-04-05,138.39456792499914,8.387195587158203,4.577430248260498,3.096327066421509
2022-04-06,134.96620890231316,8.449230194091797,4.558898448944092,3.048691511154175
2022-04-07,131.5809676194076,8.511266708374023,4.558898448944092,3.0460453033447266
2022-04-08,130.06172506811708,8.802831649780273,4.663913726806641,3.1580772399902344
2022-04-11,129.1049070373192,8.833849906921387,4.700977325439453,3.219827651977539
2022-04-12,127.19296581348954,8.796628952026367,4.670090675354004,3.2903990745544434
2022-04-13,128.38368109806015,8.902090072631836,4.62067174911499,3.2586419582366943
2022-04-14,126.60866009545225,8.902090072631836,4.663913726806641,3.260406017303467
2022-04-15,127.49298411214386,8.902090072631836,4.663913726806641,3.260406017303467
2022-04-18,125.47092747446641,8.902090072631836,4.663913726806641,3.260406017303467
2022-04-19,130.19176620364306,8.75940990447998,4.69480037689209,3.3962562084198
